noun,files,prompt,answer,adjectives,state_A_adj,state_B_adj
apple,"['apple_sliced.jpg', 'apple_unsliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE apple'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a sliced apple
2. a partially sliced apple
3. a cut apple

Image 2:
1. a red apple
2. a whole apple
3. a fresh apple","['sliced', 'partially sliced', 'cut', 'red', 'whole', 'fresh']","['sliced', 'partially sliced', 'cut']","['red', 'whole', 'fresh']"
backpack,"['backpack_open.jpg', 'backpack_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE backpack'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed):
1. a closed backpack
2. a hard-shell backpack
3. a sleek backpack

Image 2 (open):
1. an open backpack
2. an unzipped backpack
3. a compartmentalized backpack","['closed', 'hard-shell', 'sleek', 'open', 'unzipped', 'compartmentalized']","['closed', 'hard-shell', 'sleek']","['open', 'unzipped', 'compartmentalized']"
banana,"['banana_unpeeled.jpg', 'banana_peeled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE banana'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a peeled banana
2. a naked banana
3. a skinned banana

Image 2:
1. a ripe banana
2. an unpeeled banana
3. a yellow banana","['peeled', 'naked', 'skinned', 'ripe', 'unpeeled', 'yellow']","['peeled', 'naked', 'skinned']","['ripe', 'unpeeled', 'yellow']"
bill,"['bill_unrolled.jpg', 'bill_rolled.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE bill'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a rolled-up bill
2. a rolled bill
3. a tightly rolled bill

Image 2:
1. a flat bill
2. an unfolded bill
3. a face-up bill","['rolled-up', 'rolled', 'tightly rolled', 'flat', 'unfolded', 'face-up']","['rolled-up', 'rolled', 'tightly rolled']","['flat', 'unfolded', 'face-up']"
blanket,"['blanket_folded.jpg', 'blanket_unfolded.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE blanket'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a folded blanket
2. a compact blanket
3. a small blanket

Image 2:
1. a spread-out blanket
2. a flat blanket
3. an unfolded blanket","['folded', 'compact', 'small', 'spread-out', 'flat', 'unfolded']","['folded', 'compact', 'small']","['spread-out', 'flat', 'unfolded']"
book,"['book_open.jpg', 'book_closed.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE book'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (closed, angled)
1. a closed composition book
2. a blue composition book
3. a new composition book

Image 2 (open, flat)
1. an open composition book
2. an open blue composition book
3. an unused composition book","['closed composition', 'blue composition', 'new composition', 'open composition', 'open blue composition', 'unused composition']","['closed composition', 'blue composition', 'new composition']","['open composition', 'open blue composition', 'unused composition']"
boot,"['boot_dirty.jpg', 'boot_clean.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE boot'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","1. a clean boot
2. a yellow boot
3. a shiny boot

4. a dirty boot
5. a muddy boot
6. a moldy boot","['clean', 'yellow', 'shiny', 'dirty', 'muddy', 'moldy']","['clean', 'yellow', 'shiny']","['dirty', 'muddy', 'moldy']"
bread,"['bread_unsliced.jpg', 'bread_sliced.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE bread'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a pre-sliced bread
2. a sliced bread
3. a partially sliced bread

Image 2:
1. an unsliced bread
2. an uncut bread
3. a whole bread","['pre-sliced', 'sliced', 'partially sliced', 'unsliced', 'uncut', 'whole']","['pre-sliced', 'sliced', 'partially sliced']","['unsliced', 'uncut', 'whole']"
bucket,"['bucket_dirty.jpg', 'bucket_clean.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE bucket'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1 (left):
1. a clean bucket
2. an empty bucket
3. a white bucket

Image 2 (right):
1. a dirty bucket
2. a stained bucket
3. a moldy bucket","['clean', 'empty', 'white', 'dirty', 'stained', 'moldy']","['clean', 'empty', 'white']","['dirty', 'stained', 'moldy']"
cabinet,"['cabinet_closed.jpg', 'cabinet_open.jpg']","What is the most natural way to describe the two images and their states using the format 'a/an ADJECTIVE cabinet'? Please list three full phrases (in order of naturalness) for each image, for a total of six phrases (three per image)","Image 1:
1. a wooden cabinet
2. a small wooden cabinet
3. a closed wooden cabinet

Image 2:
1. an open wooden cabinet
2. an open small cabinet
3. an open two-door cabinet","['wooden', 'small wooden', 'closed wooden', 'open wooden', 'open small', 'open two-door']","['wooden', 'small wooden', 'closed wooden']","['open wooden', 'open small', 'open two-door']"
