object,image,state,adj,words_w2v
wallet,wallet_closed.jpg,b,closed,wallet
cdplayer,cdplayer_closed.jpg,b,closed,cd player
yogamat,yogamat_rolled.jpg,a,rolled,yoga mat
wineglass,wineglass_empty.jpg,a,empty,wineglass
yogamat,yogamat_unrolled.jpg,b,unrolled,yoga mat
bucket,bucket_clean.jpg,b,clean,bucket
egg,egg_whole.jpg,b,whole,egg
glasses,glasses_whole.jpg,b,whole,glasses
pot,pot_open.jpg,a,open,pot
hands,hands_dirty.jpg,a,dirty,hands
stapler,stapler_open.jpg,a,open,stapler
eye,eye_open.jpg,a,open,eye
towel,towel_folded.jpg,a,folded,towel
lime,lime_unsliced.jpg,b,unsliced,lime
suitcase,suitcase_open.jpg,a,open,suitcase
marker,marker_open.jpg,a,open,marker
pizza,pizza_unsliced.jpg,b,unsliced,pizza
couch,couch_dirty.jpg,a,dirty,couch
waterpipe,waterpipe_bent.jpg,a,bent,waterpipe
waterbottle,waterbottle_closed.jpg,b,closed,waterbottle
piggybank,piggybank_broken.jpg,a,broken,piggybank
shoe,shoe_clean.jpg,b,clean,shoe
lime,lime_sliced.jpg,a,sliced,lime
paper,paper_unfolded.jpg,b,unfolded,paper
filefolder,filefolder_closed.jpg,b,closed,file folder
book,book_open.jpg,a,open,book
backpack,backpack_closed.jpg,b,closed,backpack
can,can_closed.jpg,b,closed,can
fridge,fridge_open.jpg,a,open,fridge
orange,orange_peeled.jpg,a,peeled,orange
spoon,spoon_dirty.jpg,a,dirty,spoon
lock,lock_open.jpg,a,open,lock
tire,tire_broken.jpg,a,broken,tire
fence,fence_whole.jpg,b,whole,fence
juicebottle,juicebottle_open.jpg,a,open,juice bottle
soccerball,soccerball_clean.jpg,b,clean,soccerball
salami,salami_sliced.jpg,a,sliced,salami
stovetop,stovetop_dirty.jpg,a,dirty,stovetop
scissors,scissors_closed.jpg,b,closed,scissors
blanket,blanket_folded.jpg,a,folded,blanket
jar,jar_empty.jpg,a,empty,jar
marker,marker_closed.jpg,b,closed,marker
seatbelt,seatbelt_open.jpg,a,open,seatbelt
pickle,pickle_sliced.jpg,a,sliced,pickle
sweater,sweater_unfolded.jpg,b,unfolded,sweater
carrot,carrot_unpeeled.jpg,b,unpeeled,carrot
waterpipe,waterpipe_straight.jpg,b,straight,waterpipe
envelope,envelope_ripped.jpg,a,ripped,envelope
nail,nail_straight.jpg,b,straight,nail
scissors,scissors_open.jpg,a,open,scissors
pizza,pizza_sliced.jpg,a,sliced,pizza
soccerball,soccerball_dirty.jpg,a,dirty,soccerball
napkin,napkin_folded.jpg,a,folded,napkin
magnet,magnet_straight.jpg,b,straight,magnet
plate,plate_whole.jpg,b,whole,plate
sleepingbag,sleepingbag_rolled.jpg,a,rolled,sleeping bag
staircase,staircase_straight.jpg,b,straight,staircase
dish,dish_clean.jpg,b,clean,dish
safetypin,safetypin_straight.jpg,b,straight,safety pin
lawnchair,lawnchair_unfolded.jpg,b,unfolded,lawnchair
bread,bread_sliced.jpg,a,sliced,bread
magnet,magnet_bent.jpg,a,bent,magnet
